,ComplaintTrain,ComplaintTrainLabel,EmotionTrain,EmotionTrainLabel,SentimentTrain,SentimentTrainLabel,SeverityTrain,SeverityTrainLabel
10,hi there jordan . i am so sorry that jersey has been out of stock . i am going to inform the correct department about this . if you would like please send me a dm so i can best assist in letting you know about our current stock . cory,0,you mean that single point of failure where both parties have to be on at the same time ? you think that is a solution ? yeah that is cute . good to get the old model t out for a spin around the neighborhood once in awhile .,4,we found a terrific cashback options for gigworkers . dear smb it is time to fill your wallet . nearside offers free debit card and give 1 unlimited cashback on all purchases and up to 5 on top on vendors partners . smallbusiness sidehustle,2,best personal loans banks i cheapest personal loan a personal loan is very useful for any type of requirement . what are the benefits and how to get the best rates for a personal loan ?,4
11,i already did and you guys provide no solution nor response worse service ever i should move to instead,1,but apparantly not angry that republicans have blocked the voting rights bill ? or is he not bothered that disadvantaged predominately non white citizens will have every obstacle put in place to make voting difficult ? you ignore the cost of a pandemic and impact on economy .,0,did you know that britain and china were the two major forces that supported nazi germany from its inception on both financial and policy ? this is not fair at all as your historical knowledge is too biased towards western colonialism .,0,such a very bad service by your bank feeling cheated . being a customer of yes bank kanpur up civil lines branch,2
12,hey team still there is no response from you side i will wait until 12am today after that will go and complain in consumer forum .,1,dear sir mam my video kyc completed for credit card but i am not received credit card yet .,5,that earliest is not coming early . . i have raised the issue ysterday and no update even after 24 hours,0,raised two request to part payment and foreclose my pl 6588440 but i have never received a response . really disappointed to see how hdfc is making fool us with delaying these process as we can bear extra interest towards our loan even not close that .,2
13,you are the best crossed fingers crossed fingers i m still trying winking face,0,yeah i know sometime i feel like they have gone deaf . . its just 1k material . money wise it does not matter for me . i am after business ethics . . one day they have to answer . . let s see,5,bitcoin security is paramount . a failure to implement best practices can leave you with a total loss . after all there is no bitcoin hotline to call when you make a mistake with your wallets . there are a multitude of ways to secure your bitcoin . .,2,sad tale for good hearted people that just tried to help ; maybe just hand over 20 and say that is the best you can do be sure to notice who you help then walk away . give your debit card to a stranger ? stores are shady enough . . empathy barrier . crime ldnont,4
14,which is the best day for sip in mutual fund ?,0,in 4 year me almost mahangai double ho gyi siway ft tech ki salary jo pahle tha o abhi v whi hai,5,can you please find the attached screen shot and confirm why hdfc bank is playing dual role saying transaction failed to merchant and success to customer . please check and revert on the attached mail communication .,0,terry smith has reassured his fund investors he is not selling out of the uk market despite dumping three british companies last year via,4
15,yes maybe it is facility provided by visa card for selected debit card . bob is also best bank,0,one card to charge them all ! high voltage link the bluedot debit card to all your charging apps in a couple of clicks you re good to go . winking face join waitlist backhand index pointing right light skin tone bluedot card is issued by a partner bank pursuant to a license from visa u . s . a . inc .,3,hi zubin your team reply is just an eye wash . . concern is still there without my consent how hdfc bank have allowed to deduct the amount through ach on idfc confirmation . i never got any idfc credit card nor given any instruction to to allow any deduction . 1 1,0,i think in general obama s 1st term ended up being between okay and okay in terms of performance . fortunately he had a good fed . his second term he started to pivot back away from the economy w more focus on ideology we almost dipped back into a recession at the end .,4
16,i have demat account with paytm and the have blocked my demat account without any prior notice . now i need to withdraw my money what should i do . they do not have any customer support as well paytm sucks,1,because of this policy albertans who receive aish whose jobs are affected by public health measures and who apply for cwlb will have 300 week deducted from their aish benefits saving the province a lot of money by pushing their financial responsibilities onto the feds .,4,escalating the issue to the dept . of consumer affairs and ensuring that corporations like cannot loot the public of their hard earned money under the garb of their unilateral policies covering mistakes of their employees . scam,0,for sure . bitcoin is all about greed . the users and miners are avaricious . bitcoin itself is greedy for computing power and energy . it could get by with little but will use as much as possible . unchecked greed is a moral failure . we live in society after all .,4
17,i tried everything urs customer care with incomplete information and also by dropping mail to urs support team no one giving response thats y i m posting on social media,1,good application all data at one place only need to work in mf mutual funds section for unit allotment section little slow in alloting unit for mf,4,india better positioned to navigate any financial turbulence un body . . endorsement vindicates the measures taken by the indian govt to navigate the economy through troubled waters of covid indianeconomy longindia,2,the digne offer is a loan deal . which makes sense since digne isnt on goof terms with benitez . and digne is one of the best lbs in the league,4
18,great story by venture capitalists invested more money than ever into start ups last year via,0,in blockchain gaming people are always worried about the transaction speed because they worry about their transaction going to fail . herb herb how fast and secure is kakanftworld gaming platform ? if the number of users spikes will transactions on kakanftworld get congested ?,5,congrats ! ! i m shooting for explorer within 1 year ! the voyager debit card will have huge vgx rewards and of course 7 interest is awesome too ! !,2,your customer service team for credit card is truly wonderful . had an awesome experience,4
19,open an account with ab capital and unlock its range of products and services from timely news great financial tools in depth research actionable ideas and model portfolios mutual funds margin trading and a fast trading platform .,0,? project fear from 2019 via,2,best mutual fund for 2022 mutualfunds stockmarketindia 2022newyear 2022goals financialfreedom,2,thank you to all the good people who have picked up my new album ! so far in just 6 days you have raised 140 for bail funds mutual aid funds and racial justice organizers !,4
20,blockchain is a family of algorithms for distributed agreement . you can make the algorithm do whatever you want and at worst cryptobros might complain that it is not real blockchain for instance delete the offending post and if a majority agree it is gone .,1,the cheapest deal i could find is 2 . 25 if you take out a loan of at least 25k,4,sb8 other bans have forced people to travel long distances to access abortion . ansirh s katrina kimport offers insight into how burdens of forced travel can be reduced even in the absence of policy change . hint financial emotional support is key .,0,you that i lodged a complain in your lagos office of unauthorised transaction of the sum of 375 00 . naira . they did not follow up on the case stating the money involve is too small despite providing all evidence and the cuprit bank account and name . no justice for the poor .,3
21,you guys have been great throughout this matter unfortunately will not issue refund . had i known i needed a credit card in addition to my debit card i wouldn t have prepaid . no 500 refund and i never received the car . disgusting especially during these times !,0,no one is measuring or talking about the gray market . . i know that especially immigrants only wsnt to be paid in cash !,4,this would be great actually because my christmas credit card bill is coming on the 6th . fire away 5g !,2,you know the exhaustion is real when best buy hits you with ps5 disc version in stock ! and all i can do is look at my phone and roll over sleeping face sleeping face,4
22,organized money grab . like eating chips pay to feel good but you get fat and they get your money . you feel bad and pay more to unfat but the grift is on and they take till your dead .,0,when will cnbc be the first network to display the russell 2k index ? small caps are vital to the economy !,6,payment failed but amount debited from my account complaints many times but no response from,0,even if it takes me the rest of year to pay my credit card off i will have a great bday this year . i deserve it,4
23,in the end i m cancelling my debit card . i m planning to report the company to the whatever good that ll do . my parents heavily suggest i report to my state attorney general as well . the emails from customer support are so out of step it s insane .,0,you do know every federal employee owns mutual . funds college employees and even small time investors at 50 bucks a month . when pensions left that was best choice and safer . most do not know the companies only if big cap small cap etc .,3,i already used this link and still no response . how many times you all want a customer to report issues to this link . do you look into customers issue or only send links and ignore . henceforth stop ignoring such issues . please look into this on priority .,0,do not complain to others about your life change it for the better . be with us . definitylegend blockchain defi dld metaverse,3
24,there is no response yet ! already shared those details .,1,askmoneypurse hi sir i want to generate income through dividends from etf s but couldn t find good etf s in indian market . can u suggest etf fr dividends or other ways to get dividend income like mutual funds etc . not interested in psu stocks bcos most of them don t beat the index,4,a little bit of history used to be a awkward about checking userids especially if you were not in the usa . now you can easily pay direct and it could be argued that a credit debit card is adequate proof of age . they also ask for date of birth slightly better . .,1,uber lyft discount cards for blind riders in utah 100 . 00 for a 200 . 00 gift card . the gift cards can only be ordered using a debit or credit card . if you are interested in using uber lyft call 801 245 9264 between the hours of 10 00 a . m . and 5 00 p . m .,4
25,below is the screenshot of credit card which was illegally loaded on 29th dec please stop the payment asap,1,land speculation is an encouraged form of wealth extraction . while it s legal to erase and replace our built fabric with rent farms buildtorent housing it is not . this is not an entrepreneur creating value where there was none it is financial and urban fraud aided by policy .,0,can t wait ! the more i learn about defi lending and what proton xpr will offer the more bullish i m getting with proton loan . with cross chain capabilities instant transactions zero gas fees plus kyc all added to the mix ! hands down going to be the best lending platform !,0,worst customer care service . after debiting amount from account did not credit in beneficiary account and no response for complaint or even a courtesy to acknowledge emails . twitter bot asked to register here which is not working either . boycottpnb,2
26,dear sir madam . i had requested for lod of my home loan account which i have received but in that doc . it is not mentioned that original deed is with you . i spoke to the concerned person but he denied to mention saying it is not in his scope .,1,nope there is no response . i am sharing a screenshot for your clarification . i have not received any response . man i am begging you please ask your team to actually help me and stop lying to me .,5,paying down credit card debt is a great resolution b c it can save you money on interest and possibly boost your credit score . here s more info . about how this financial resolution might help you creditchat creditwriter,2,united kingdom india deal would open huge opportunities for british businesses in india and vice versa in both goods and services said international trade secretary read her exclusive interview in backhand index pointing down more backhand index pointing down uk india,4
27,oh shit i have to pick up my debit card too thanks for the reminder streamer have a great rest of the week thumbs up light skin tone,0,sir kripya aap koi aisa kanoon parit kare jisse private sector me job kr rahe chote employees ki salary direct unke bank account me transfer ho jaye kyuki unki salary ka bada hissa thekedar or bicholiye unhe na dekar khud rakh lete he,5,instant gold loan at the lowest ever interest rate of just 57 paise per month .,2,a study on infrastructure of the global financial system exposes corrupt policies creating a path for money to be transferred from the middle class to the 1 who hold more wealth than the entire middle class,4
28,so true . . guys i think they are cheating us . . partially delivered my medicine n till date my issue is not resolved it is been 10 days i need my money back cheaters,1,for sure . agree . targeted relief should be considered . fixing the programs that offer loan forgiveness for service should be as well . best,4,me hi can we please have feature x enabled ? paypal sorry you need to be doing 10k month revenue through paypal to enable that me but we need that feature to connect our cart and create said revenue paypal too bad get lost still the best customer service,0,texell membership offers many privileges bonus rewards points with your debit card the best rates on loans credit cards and certificates and exceptional customer service . switch to something better . open your account today in just 4 minutes at,4
29,hi sairam there is no response from your social media team so far . i send chaser this morning but no response .,1,it s been more than a month that i ve been struggling with the paytm voice machine . i made the payment on the very first day i installed the machine and thereafter saw no response to any transactions . this is a very irresponsible act from your side .,0,good news my darth vader debit card just came in the mail happy,2,life . feeless transfers for erc20 tokens to friendly named contacts 39 staking rewards nft vaults debit card t1 cexs incoming . so much good stuff imminent . plus ceo at the helm what s not to red heart ? lifecrypto,4
30,your social media executive is repeating the same words even more 2 days why my money is hold if there is not my fault pls help,1,can you check this please no response yet !,5,as usual no response n no resolution anywhere why r all govt employees r so useless lazy n annoying,0,my application no . is 124620327 application logged in november . still not getting any revert from any person . i am fed up with you guys . it was s personal loan and that is needed in urgency . this is the 4th time,3
31,i always felt that they were just well marketed mutual funds . you re just investing in companies that own real estate . people think they re investing in real estate but you miss out on the best parts of real estate investing appreciation tax benefits asset accumulation . man shrugging light skin tone,0,this is best place to work for executives only . . mangement is is incresing salary perks benefits for executives only . . presently many psus have better package for diploma employees . . all this happening at our beloved due to corrupt management,5,if you don t have any credit start with getting a cell phone bill in your name . walmart store credit card was my first credit card and is another great card to start building your credit with as well . you can have as low as a 590 to get approved .,2,making a debit card with awesome rewards is actually a brilliant idea .,4
32,you all do this stuff wrong ! terrible customer service . watch for my credit card soon . . its the one being thrown at you . . again .,0,i would like to raise charge back for the upi transaction made on 2100 amount for deducted from my account but did not recieved by mahatrafficechallan kindly help urgently . screenshot attached below,5,core growth slows to 9 month low in november via nifty50 bankniftyoptions nifty50 niftyfuture,0,they said we will investigate the issue and revert back but i have not got any response from them since nor any mail nor any message confirming my complaint is registered . i do not have the complaint no . or any proof that my complaint is registered,3
33,good morning ! what to expect in the latest unemployment data and what companies need to know about the supreme court case on vaccine mandates . more business news in our live briefing,0,i have just found my debit card it feels so great i can buy the stuff i need to urgently buy rn it works its all great i have found my debit card manifested,3,modihaitomumkinhai narendramodi fraud alert . income tax tds fraud done my m3m india supported by haryana govt . staff,0,can you please help me with this it is been 3 months they havent refunded the money they promised to refund last night but nothing has been done again,3
34,tatasky wants me to dm 4 knowing d facts n resolution . wonder y dey hv a centre with illiterates who say sorry . v understand . error is on our part . but no v ll not refund your money n den swiftly disconnect ? poortata,1,status 0 errormessage request processing failed ; nested exception java . lang . nullpointerexception errorcode 1 when i am trying to pl loan i always get an error tried reaching customer care no luck m 9986735746,5,i need my loan account interest certificate for current fy . i have mentioned all the relevant details to sbi . 01882 but no response from there . please look into this .,0,sir maine debit card par emi karwaya hai maine bill pay kar diya tha fir bhi mere account se paisa cut gaya please help me,3
35,rs ds are not the answer as they are already captured corrupted . any politicians that will not bring about these policies should be fired . 1 . term limits 2 . campaign finance reform 3 . end congress lobby revolving door 4 . full disclosure of conflicts of interest financial interest,0,i m trying to reaching you guys since a week now for a invalid transaction done from my account without any prior info this is really pathetic . i ve reached on your 2 3 customer care number ever after a long authentication process no such response .,5,. another cheater in line . earning by befooling it s customers . charging for services we never took through their prepaid ola money . even after so many complaints no action . it s been more than 15 days now .,0,sir please do needful as december month salary contribution is also in pipeline .,3
36,this is not a comment on cbsl policy . rather inflation in sl and rejecting this idea that cbs shouldn t support an economy during a crisis . cbs need to be forward looking and need to balance inflation the recovery and external and financial stability during a crisis like this .,0,terrorfreekashmir jammu and kashmir received investment proposals worth rs 31 00 crore centre tells rajya sabha . . newyearnewkashmir via,3,my cancelled flight refund till date not credited . fooling by giving meaning less replies of to contact this call them but not refunding my money . . cheaters fraud neveruseairindia do justice,0,no response from unprofessional organization . government is right to make all this bank private,2
37,honestly this is the dumbest q hysteria since mole children and the great reset combined . just bc you folks don t understand mutual funds it s suddenly a conspiracy that they own lots of stock . your grifters simply make you suspicious of normality due to ignorance .,0,lol no that would be cash . crypto adoption sucks and 99 of its use case is store of value and speculation . try again .,2,put those doubts away . expect a better defi experience than ever before thanks to reef s upgraded infrastructure and the arrival of the reef debit card . remain calm .,2,blame the banks oh wait . .,4
38,i have been trying to reach out to amazon india and the retailer for the last 4 5 days . no response from either of those . i do not mind sharing the order number because it does not matter to me as my money and order is at stake . the email says cusomer cancelled as the reason . lie !,1,hardware failure behind arbitrum s second outage in five months lt ; lt ; lt ; altcoin bitcoin altcoins crypto altcoingenius blockchain altcoinfeeds ethereum altcoininvesting cryptocurrency altcointrading litecoin altcoinnews btc altcoininvest eth,0,it s been more than one month since you charged me renewal fees for your credit card but the card is nowhere to be seen . tried calling the customer service several times but got disconnected after waiting for 30 mins .,0,i continue to receive emails from a mortgage consultant even though i no longer have a mortgage with wells fargo . i specifically requested 2 months ago to cease and desist . yet again today i received another email from same consultant . please stop .,1
39,sir is it good time to invest in nifty next 50 stocks or mutual funds ? what is your opinion on navi mutual fund ?,0,tsla s financial metrics are very poor . the company may be overvalued and yields a relatively low return on shareholder s equity . the factor rank is based on the stock having high price to book value low return on equity and relatively low cash flow . . sell it now !,5,team i am getting unnecessary call from hdfc associate stating that i have taken the personal loan from hdfc bank though i hav never took any loan from hdfc bank and how come hdfc bank has verified the kyc of this account .,0,such sweet liars these guys . after taking up the issue on twitter these guys call you to promise a date by when we will get our money but of course they are all fake just like their fake fraud company,0
40,i am already send tha document via indian post tracking no ef794204534in and document is successful delivered but not response why . .,1,core growth slows to 9 month low in november via nifty50 bankniftyoptions nifty50 niftyfuture,5,just deposited my take from nye madness last night and the chase atm goes down in the middle of depositing the money . . it s fine . not like i wanted to spend any of that today . . dobetterchasebank,0,i am being harassed . hdfc claims that by mistake they charged my cr crd and i hv to pay for it now . i never authorized that transaction . they respond in 2 3 days on email and during this they ve charged a late fees too on that amt . frustrating,0
41,what happens if you lose mobile and debit card together and say you were off the grid for a couple of hours . if they are stolen theres a good chance you can be wiped off your funds to the tune of the maximum cash withdrawal limit which can also be changed on the app,0,i have icici platinum credit card how to upgrade it to amazon pay icici credit card ? ?,4,already filled form but no response,1,that credit card debt one ohh do i feel that my friend ! and being active more is a great goal to strive for i am rooting for you for real blue heart,4
42,11 n not sure how i missed this wonderful conversation with when making this thread . an hour of great insights for people looking to get into credit cards or looking to up their credit card game . indianmilesguide,0,my cancelled flight eticket0982136975302c1 refund till date not credited more than2 months giving meaning less replies of to contact this call them but not refunding my money . do justice,5,radhika any good news from mutual fund industry fund performance sleeping face,1,offers on your bank of india mastercard debit card offer details enjoy extra 10 discount upto rs . 500 on a minimum purchase of rs . 99 on select styles . promocode mymcboi dfsindiacelebratesamritmahotsav amritmahotsav,4
43,required documents provided in dm but there is no response from,1,cheating by blue dark courier delivery boy icici bank did not stay away i have not received my atm yet delivery boy did not want to come to my delivery address oh i was telling me to know that blue dart courier bahadurganj office kishanganj bihar,2,in blockchain gaming player are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is metagamz1 gaming platform ? if the number of users spikes will transactions on metagamz1 get congested ?,1,pls do get yourself health insurance . mutual funds work best when you leave them untapped for years on end . redeeming them to pay off potentially huge health bills likelier as you get older wipes out your retirement nest egg .,4
44,get hundreds of call for loan etc etc but not a single call that your current account is getting a freeze as email went into spam . shame on icici for not calling your customer before freezing an account .,1,i do not know of any other bank but i give the award to . . them no dey waste time to debit you even if the pos transaction fail when u complain they will ask u to log the transaction and wait for 14 working days . i still have 3 pending pos error since november 2021,5,the argentine debt is a crime against humanity . the nazi behavior of is evident . lagarde said mr . macri allow the carry trade 2 financial terrorists that we cover their exit and we maintain our influence on economic policy so that they never develop .,0,again fraud service by ola cab . took the fare twice . after the online payment cash was also taken . booked for my relative . i have recording for same . please help me for money back . trip details,1
45,have you made your new year s resolutions yet ? use this year to protect you and your loved ones financial futures with a life insurance policy . let s connect to get started !,0,in for a fresh deal ? get 5 instant discount of up to rs . 100 on purchasing above rs . 200 from easy day and heritage fresh using uco debit card . for more info visit tandc apply,3,is blockchain gaming people are always worried about the transaction speed because they worry about their transaction going to fail . how fast and secure is dna cat gaming platform ? if the number of users spikes will transactions on dna cat get congested ?,1,good morning . dont know who wants to hear this but read the offer documents carefully of the mutual funds as well as the person you are investing in .,4
46,no response from you guys,1,sir maine apke atm se paisa nikalne gya amt us kiya but paisa mere acunt se kat gya apka atm paisha diya nahi 1500 kat gya abhi tak refund nahi huwa indian bank ka atm tha,5,who else follows jimmy darts on tiktok ig and ends up sending a to one of the awesome people he meets ? also cool he teams up with seattle based senior living to help people in his community !,1,be calm you don t have to panic i highly recommend you to i was thinking i lost all cause my account was hacked and i just reached out to this support services and he provided the best possible support . he can help you out . .,4
47,fomo ? ? among pro traders ? ?,0,understandable good point that not everyone has access to credit cards . the cash app debit card is a solid play . they have great cashback deals which i m sure you re aware of . did you see i mapped out cash app s fees ? didn t expect all the sweet spots .,4,ceo is it mandatory that whatever excess amount in the loan will be converted into fd as per andhra pradesh vijaywada branch loan sales officer mahesh reddy . they are not raising any sr for loan closure .,0,icici credit card technical error so cannot able to pay without converting it to emi and icici charging customers for the same total fraud . . pathetic service .,2
48,hi i am getting otp for credit transaction after 2 3 hours of transaction . it is totally unusual . my friends also have icici bank credit card and they are not facing this issue . it is only me who is facing this issue . and i am facing this issue for days . please look,1,etoro plugs into the metaverse with stocks and crypto asset portfolio via,4,dear i need my homeloan interest rate certificate kindly help its urgent,1,in other words the average investor actually lost money by investing with the best performing u . s . diversified stock mutual fund !,4
49,i see the twitterverse calling out dave ramsey this morning . my view 1 he seems to be a bad man 2 he says some good things 3 his use debit cards over credit cards advice is dangerous . his updated articles are even worse than his old statements .,0,is featured in the recent newsletter ! rolled up newspaper newspaper read more here blockchain cryptocurrency,4,hi a transaction on my credit card was cancelled . just wanted to check if it is already processed for reversal as the bill date is 5th of every month .,0,i have never seen such a bad bank like bank of baroda is the worst service bank in india i just called the customer care neither they are responding properly nor the employee has any knowledge i am upset with the service of,2
50,the most stressful crypto transactions are anything involving smart contracts on the ethereum chain especially when focused on the cost of gas and the real possibility of a failed transaction that charges you hundreds of dollars of fees to fail it !,1,just got off a call troubleshooting with k2a tonight for 2 hours . we found that an error message passed into this stored proc was being ignored so the transaction imports to gp even though it should fail . smh timeforadrink can you see the problem here ?,5,fraud company crossbeats crossbeatsfakeandduplicateproducts crossbeats mentally harsh me waste my money my humble request to all of you please do not buy anything from do not waste your time n money,0,tax and gst fraud going on openly in the name of taking society maintenance request you to validate the records for this account number gstin 03aatfm5924c2zb,1
51,i get a warning this transaction is expected to fail . trying to execute it is expected to be expensive but fail and is not recommended .,1,this is so embarrassing for australia . victoria is the laughing stock of the world . the australian open will be a farce without the best attending .,1,i have ordered 2 perfumes from paytmmall order no 16829387377 but only 1 perfume is been delivered ystrdy by xpressbees delivery guy said said talk to paytm cust service i raised a ticket no 22057059548 and it is been 18hrs still no response .,0,the firm insists on the bank details for refund for the defective item returned 0n 9 sep 21 . transaction was on cod basis . please reply,1
52,no response still,1,i have home loan from your bank since 9 years . today i visited badlapur branch to open saving account . they asked me 1 lakh check to open saving account . i really do not understand logic behind this . please help,5,you have to register complain in each alternative days for having the net by paying high rentals . the cheater company doing fraud by taking hard earned money in the name of internet connection rental . actfibernet,0,real estate funds are best classified into three buckets real estate equity funds real estate debt funds and real estate mutual funds . read more here right arrow,4
53,i have not received any amount in my bank account lately from . first they refuse my money . now i don t know what kind of new drama is on . can anyone help,1,these threads should give u a fair bit of knowledge on using credit card reward points to achieve great travel redemptions thru airmiles and ; hotel loyalty programs .,4,as he said about bitcoin cash . it has been mostly a failure .,0,carbon neutral blockchain is false flag . blockchaintechnology thrives on innovation . miners seek the cheapest source . . mainly renewable to maximize profit . governments who complain about addition co2 being produced through cryptomining admit their failed energy policies,3
54,sustainable communal living financial freedom policy driven party power unbreakable and victory . that is it that is the key of taking our country back and nothing else . so drop your fucking political parties stop giving them money and to us so we can truly change shit .,1,yes i have reached but no response . i need any email address where i can email .,5,on 5th jan i have transferred 2500 to gaurav arora via upi nd still he hvnt rcvd the amnt bcs his account is inactive . nw it claims that the money is snt to the bnk dummy accnt . kindly reverse the amount bck to me or give a solution,0,it is been 24 hours no email . you said you will email me immediately . let me know if you want me to share the call recording here as a proof . refund my 3k back or process my loan . please help to regulate such frauds by bank .,0
55,good info . . mutual funds sahi hai face with raised eyebrow . . the traditional way of investing still dominates . . huge scope in this decade for a major shift ! jaago india jaago nifty50 investing investments equity stocks investor sensex trading,0,so buffet s performance during the 1980s was no better than some of the top performing mutual funds of the time . but his net results were better b c he engineered in a performance enhancer . still leverage can kill you if you incur losses . thus buffett s rule no 1 .,2,star trek discovery is on amazon uk . i purchased the season and the latest episode hasn t arrived yet . i went on chat and asked why appletv has it and amazon doesn t . i got a don t know response a refusal to escalate and then an email address which was no longer in use,0,its great for now but i guarantee more regulations are coming . . they already make it extremely hard to buy crypto . no banks in canada allow you to buy crypto with a credit card and they tried shutting down binance in ontario . should really start looking for a crypto account now,4
56,cool,0,financial cheats or not pep guardiola s city era is are the best squad in pl history . no one gets near them . the fact klopp got near them and beat them to a title with our owner s sell to buy policy is nothing but an over achievement . if pep stayed he d surpass ferguson .,0,stephen yiu explanation as to why he no longer holds amzn is ridiculous . saying wmt has improved their e commerce during covid ! clearly he lives in the uk and not us . amzn mo has always been to be the best be profitable and re invest in themselves retail and aws both,1,hello when you become labor leader again can you please put as a policy to work with the governments of the world to tax multi national financial corporations and redistribute wealth so that everyone in the world has an equal net worth of 44 billion each thanks,4
57,hundred points when i only had a debit card my credit was trash . then i got a secured card to use instead ; paying it off after each use and had my credit good in about 6 8 months . now it s excellent with an established history ; doing the same with my other cards for points protection etc,0,oy it s working from the sky home page now on tv . app no response though .,5,bantravolook ms megha confirmed on 10th dec that money will be refunded in 24 48 hrs . now after 72 hrs nothing happened . they are enjoying my money for more than month and may be of many and in lakhs . it is high time govt must take stern action it s fraud,0,in the last order product was missing till now no response from amazon and my refund,3
